id	Au	Sb	As	Lat	Long
96	11111	7655	6	-36.693455	144.199229
97	6765	67	6	-36.691179	144.203498
98	4321	75	7	-36.688902	144.206629
99	222	576	7	-36.687194	144.209759
100	43	7887	77	-36.684918	144.21289
101	5	453	76	-36.682926	144.216305
102	345	675	7	-36.681218	144.219151
103	45	876	8	-36.716222	144.167356
104	345	87	8	-36.713661	144.169917
105	324	78	0	-36.711669	144.173047
106	35	98	7	-36.709392	144.175609
107	45	567	66	-36.707685	144.178739
108	345	5466	5	-36.706262	144.183008
109	45	87	45	-36.70427	144.186708
110	4534	98	4	-36.702847	144.19183
111	4534	67	3	-36.700285	144.196384
112	34534	56676	3	-36.698009	144.200368
113	34543	56	0	-36.694878	144.204352
114	3245	6575	22	-36.692602	144.208336
115	765	78686	3	-36.691179	144.211182
116	678	89	2	-36.689187	144.214882
117	798	768	2	-36.687194	144.217728
118	798	57	2	-36.685487	144.221427
119	45	756	3	-36.719068	144.168779
120	65	543	4	-36.716507	144.171909
121	65	4	4	-36.71423	144.175324
122	564	56	3	-36.712807	144.178455
123	564	67	0	-36.710531	144.182439
124	4564	87	65	-36.708823	144.187561
125	4646	98	0	-36.707116	144.19183
126	6456	9	78	-36.705123	144.194961
127	45465	765	8	-36.702847	144.199514
128	456	0	9	-36.700285	144.204067
129	46	6544	9	-36.698293	144.20606
130	4566	76	0	-36.696301	144.210328
131	456	67	0	-36.694594	144.213743
132	657	657	8	-36.692602	144.217728
133	657	876	77	-36.69061	144.220289
134	6570	8	6	-36.689187	144.223419
135	567	65	6	-36.722768	144.170771
136	75	54	6	-36.721345	144.173047
137	567	4	65	-36.719353	144.175609
138	567	56	5	-36.717645	144.178739
139	86	456	5	-36.715938	144.181585
140	345	456	5	-36.714515	144.185
141	0	76	4	-36.712523	144.188984
142	456	67	4	-36.710246	144.192684
143	4564	87	4	-36.707969	144.196953
144	5343	87	4	-36.706546	144.200368
145	456	5644	5	-36.703701	144.202929
146	4565	4567	6	-36.702278	144.20606
147	6456	7	7	-36.700285	144.210328
148	56	8	7	-36.698578	144.213743
149	64	876	88	-36.69687	144.217158
150	456	675	8	-36.694594	144.220858
151	456	67	9	-36.692886	144.223419
152	56	786	9	-36.692032	144.225411
153	65	78	9	-36.725614	144.172478
154	4564	78	9	-36.723622	144.17504
155	46546	5645	9	-36.722768	144.17817
156	644	564	9	-36.72106	144.180731
157	546	5	8	-36.719068	144.184146
158	546	565	8	-36.717645	144.187561
159	456	56	888	-36.715938	144.190407
160	65	5	8767	-36.714515	144.193538
161	56	56	0	-36.712807	144.196099
162	6	546	678	-36.711669	144.198945
163	456	56	67	-36.710246	144.201222
164	56	564	8	-36.708254	144.204352
165	65	56	6	-36.705977	144.206913
166	56	54	67	-36.703985	144.211182
167	56	5	6	-36.702847	144.214313
168	56	45	7	-36.700855	144.217443
169	465	5	8	-36.698863	144.220004
170	56	65	0	-36.697155	144.224273
171	56	5656	6	-36.695448	144.227119
172	456	3	5	-36.72846	144.174755
173	456	45	56	-36.726752	144.176747
174	56	45	756	-36.724475	144.180162
175	876	54	567	-36.722483	144.184716
176	887	0	7	-36.720491	144.188984
177	98	78	657	-36.718499	144.193822
178	987	87	65	-36.715938	144.197237
179	75	765	56	-36.713946	144.202075
180	675	0	75	-36.7111	144.206629
181	345	453	7	-36.708823	144.210044
182	45	54	56	-36.706831	144.213459
183	876	0	7	-36.705408	144.217158
184	89	786	657	-36.703416	144.220289
185	980	4	56	-36.701139	144.223704
186	435	56	7	-36.699432	144.227688
187	543	67	567	-36.731021	144.176747
188	987	0	56	-36.728744	144.179593
189	9	8	0	-36.726752	144.184431
190	9	89	7657	-36.72476	144.188131
191	657	9	5	-36.722768	144.192399
192	56	788	76	-36.72106	144.19553
193	456	0	654	-36.718784	144.199229
194	765	658	64	-36.716792	144.203498
195	46	7	5	-36.715369	144.206913
196	75	54	5345	-36.713092	144.210898
197	64	6	343	-36.709961	144.215166
198	765	67	5	-36.707969	144.21972
199	445	67	654	-36.706262	144.222281
200	5	0	56	-36.705123	144.225411
201	5	67	6	-36.703131	144.229111
